objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,date_published,publisher,licensing,copies,musical,adaptation,adaptation_of,description,colocated,notes,format
yppc_11,Anastasia - Recognition Scene,"Maurette, Marcelle",10-18,0,2,1,3,,8,1952,"Samuel French, Inc.",TRUE,1,FALSE,FALSE,,"Anastasia is recognized by the dowager Tsarina, her grandmother.",,One scene from act II of Anastasia. English adaptation by Guy Bolton.,record
yppc_12,Anne of Green Gables,"Robinette, Joseph",04-18,9,19,3,31,TRUE,84,1989,The Dramatic Publishing Company,TRUE,4,FALSE,TRUE,Anne of Green Gables by LM Montgomery,An orphan girl is adopted by a pair of siblings.,,,record
yppc_13,Ashes,"Rudkin, David",16-18,2,2,0,4,,54,1977,Concord Theatricals,TRUE,1,FALSE,FALSE,,"Anne and Colin are a thirty-ish British couple who desperately want a child. With stark realism, harrowing insight, and dark humor, their efforts to achieve this blessing are portrayed as the embers of their hope become the ashes of their dreams and with bitter experience they summon the strength and love to go on.",,Script is incomplete. This also deals with some pretty explicit sexual themes.,record
yppc_14,April Fish,"Pezzulo, Ted",10-18,6,5,0,11,,27,1975,Dramatists Play Service Inc.,TRUE,8,FALSE,FALSE,,"The scene is in a tenement in New York’s “Little Italy,” the home of the family of Assunta and Fortunato. It so happens that there is an enormous hole in their bathroom wall, and Assunta has summoned the detested Pietro (an excellent plasterer) to fix it—but Fortunato has just spent all of the family’s money on a magnificent gold tooth. The answer: “April Fish” —a traditional bit of Italian trickery in which the word is passed that Fortunato has died, and he is suitably laid out, amidst mourners and candles, when Pietro arrives. Certainly, in such a situation, no one would be so heartless to speak of money! Unfortunately the ruse fails to work quite as well as hoped, and what with the rising hubbub of assembled neighbors and friends, the situation grows increasingly frantic—and hilarious—until the good Padre Peggio arrives to set matters right and give the perpetrators their comeuppance.",,,record
yppc_15,Appointment with Death,"Christie, Agatha",10-18,9,7,0,16,FALSE,79,1945,Concord Theatricals,TRUE,3,FALSE,TRUE,Appointment with Death by Agatha Christie,"An assorted group of travellers find themselves thrown together on an expedition to the rose red city of Petra. At the centre of the group are Mrs. Boynton and her four stepchildren who never leave her side. This apparent devotion however is actually a façade for something far more sinister. Sarah King, a young English doctor, and her colleague, the eminent psychologist, Dr. Theodore Gerard, find themselves embroiled in a battle to free the children from the sadistic grasp of a tyrannical woman. This chilling play offers a unique take on the classic murder mystery, where Christie explores the realms of the sadistic mind and the devastating effects of long term psychological abuse.",,,record
yppc_16,Arsenic and Old Lace,"Kesselring, Joseph",10-18,11,3,0,14,FALSE,88,1939,Dramatists Play Service Inc.,TRUE,7,FALSE,FALSE,,"Drama critic Mortimer Brewster’s engagement announcement is upended when he discovers a corpse in his elderly aunts’ window seat. Mortimer rushes to tell Abby and Martha before they stumble upon the body themselves, only to learn that the two old women aren’t just aware of the dead man in their parlor, they killed him! Between his aunts’ penchant for poisoning wine, a brother who thinks he’s Teddy Roosevelt, and another brother using plastic surgery to hide from the police—not to mention Mortimer’s own hesitancy about marriage—it’ll be a miracle if Mortimer makes it to his wedding. Arsenic and Old Lace is a classic black comedy about the only thing more deadly than poison: family.",,,record
yppc_17,Alice: Through the Looking Glass and Other Adventures,"Stephens, Jeffryn",06-18,1,4,26,31,,54,1984,YPPC,FALSE,13,TRUE,TRUE,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,,There are probably 8 copies of this play. Some of the copies are alternate versions. There are multiple roles in this that are not gender specific. Many of these roles can doubled.,record
yppc_18,Aunt Dan and Lemon,"Shawn, Wallace",16-18,6,6,0,12,,45,1985,Dramatists Play Service Inc.,TRUE,4,FALSE,FALSE,,"The action begins in the London flat of Lenora (Lemon), a rather frail, introspective young woman who tells us, with a chilling calm, why she rather admires the Nazis for their “refreshing” lack of hypocrisy, and who then, in a series of flashbacks, explains how she came to hold these views. We meet her abrasive American-born father, to whom profit and business success are foremost, and her retiring mother who wishes that love and kindness were more prevalent but is easily reconciled to their absence. But, most important, we meet a family friend, Danielle (known as Aunt Dan), an Oxford don obsessed with defending Henry Kissinger’s policies in Vietnam. Beguiling Lemon with tales of her wild days as an Oxford student, and of the amoral escapades of her diverse and often dissolute friends (depicted in brief, disquieting vignettes), Aunt Dan becomes the central force in Lemon’s life, eventually corrupting Lemon’s moral views to the point where even Aunt Dan’s death elicits no compassion. Instead Lemon, in a final, chilling monologue, methodically makes the case that bullies are our natural masters—and that reasonable man is, by nature, an armed killer who destroys others not only because it is necessary for survival but because it gives him pleasure.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,record
yppc_19,Aida (Scenes),"Verdi, Giuseppe",10-18,4,2,2,8,,9,1871,Open Source,FALSE,2,TRUE,FALSE,,"The Egyptians have captured and enslaved Aida, an Ethiopian princess. An Egyptian military commander, Radamès, struggles to choose between his love for her and his loyalty to the King of Egypt. To complicate the story further, the King's daughter Amneris is in love with Radamès, although he does not return her feelings.",,"Contains scenes from Aida: School Edition. 2 copies of Scenes 2 and 4, 3 copies of Scene 5, and 6 copies of Scene 6.",record
yppc_20,After Magritte,"Stoppard, Tom",08-18,3,2,0,5,,24,1971,"Samuel French, Inc.",TRUE,1,FALSE,FALSE,,"Harris, his mother and his wife are a kooky trio. Enter the forceful inspector from Scotland Yard with his constable - which is strange, notes the wife, for she had ordered an ambulance. The officers proceed to place the three under arrest.",,,record
yppc_21,A Growin',"Chapman, Margaret",12-18,,,,0,,,1988,YPPC,FALSE,1,FALSE,FALSE,,,,"Possibly complete? Need to ask Jessica as the acts are seperated and there are different numbers of them. Written by members of the 1988 Playwriting Class, assisted by Ty Stephens. Authors Margaret Chapman, Karen Moore, Hilary Sparrow, and Lisa Raimi.",record
yppc_22,Aesop's Fables,"Glasner, Anne",04-12,0,0,11,11,,46,1979,Open Source,FALSE,25,FALSE,TRUE,Adapted from Aesop's Fables.,"Multiple versions. A collection of fables credited to Aesop, a slave and storyteller who lived in ancient Greece between 620 and 564 BCE.",,Can add additional actors; this play is told as a series of fables with a common narrator. Small cast version is included.,record
yppc_23,The Stonecutter and the Tiger,"Stephens, Jeffryn",04-08,3,2,9,14,,15,1990,YPPC,FALSE,2,FALSE,TRUE,Adapted from The Stonecutter and the Tiger,"A poor stone-cutter craves to become a rich man, then a prince; his wishes are granted in turn by a mountain spirit. He then enviously desires to become the sun, impervious to heat; then clouds, undaunted by the sun; then the mountain, which withstands the rain which falls from the clouds. But when a stone-cutter starts chipping away at him, he wants to revert to being a man, and comes to the realization that he is satisfied with his station in life as a humble stone-cutter.",,Co-located in CAPS Learning Packet curriculum.,record
yppc_24,Anansi and the Sky-God Stories,"Stephens, Jeffryn",04-08,1,1,9,11,TRUE,8,1985,YPPC,FALSE,20,FALSE,TRUE,Adapted from All Stories are Anansi's (A Tale from West Africa),"Anansi (/ah*nahn*see/) the Spider is a popular figure in the folklore of parts of West Africa. Anansi is a “trickster” figure—clever, cunning, sometimes mischievous—who uses his wits to make up for what he lacks in size and strength. This story tells how Anansi became the “owner” of all stories",,Co-located in CAPS Learning Packet curriculum. Might be a copy of Barbara Winther's,record
yppc_25,Anansi and the First Talking Drum,"Stephens, Jeffryn",04-08,2,0,6,8,TRUE,5,1985,YPPC,FALSE,1,FALSE,TRUE,Adapted from Anansi and the Magic Drum,"This is the story of Anansi, the cunning spider, and a magical drum that spoke the language of the cosmos.",,Co-located in CAPS Learning Packet curriculum.,record
yppc_26,Tall Tale Man,"Stephens, Jeffryn",04-08,2,0,6,8,,3,1985,YPPC,FALSE,1,FALSE,TRUE,Adapted from West African Anansi stories,"Anansi is a trickster who tells a man tall tales. The man refuses to believe him, and eventually leaves in disgust.",,Co-located in CAPS Learning Packet curriculum.,record
yppc_27,Jack and the Robbers,"Stephens, Jeffryn",04-08,2,1,7,10,,9,1985,YPPC,FALSE,1,FALSE,TRUE,Adapted from Jack and the Robbers from the Jack Tales of Southern Appalachia.,"Off to find his fortune, Jack meets a cat, dog, goat, bull and rooster, who help him recover a fortune from a gang of thieves.",,Co-located in CAPS Learning Packet curriculum.,record
yppc_28,Bang!,"Stephens, Jeffryn",14-18,8,10,1,19,,48,1984,YPPC,FALSE,,FALSE,FALSE,,There's a hostage situation at a bus station.,,There are lyrics for this play but no score is included.,record
yppc_29,Beans!,"Schuch, Joe",08-12,3,2,6,11,,27,1988,"Joseph N. Schuch, Jr.",TRUE,6,FALSE,TRUE,Adapted from Jack and the Beanstalk,"""Jack and the Beanstalk"" is the best known of the ""Jack tales"", a series of stories featuring the archetypal English hero and stock character Jack.",,,record
yppc_30,The Masque of Beauty and the Beast,"Brill, Michael Elliot",10-18,2,3,7,12,,34,1979,"The Anchorage Press, Inc.",TRUE,5,FALSE,TRUE,Adapted from Beauty and the Beast,"A fanciful tapestry of the theatrical enchantment retelling the ageless fairy tale for audiences of children of all ages, this production is a favorite of college drama programs. Magic is created on all levels in this stunning verse play filled with sprightly dialog, delightful and varied characterizations, and a brilliantly theatrical handling of the story. To be performed in the manner of a 16th-century French masque, The Masque of Beauty and the Beast effectively utilizes an eloquent narrator, a simple platform set and 11 players to weave wonder for all. The playwright is a gifted producer and his suggestions will interest the most advanced director.",,,record
yppc_31,Belle of Amherst,"Luce, William",10-18,0,1,0,1,,78,1976,Dramatists Play Service Inc.,TRUE,1,FALSE,FALSE,,"The Belle of Amherst is a one-woman play by William Luce. Based on the life of poet Emily Dickinson from 1830 to 1886, and set in her Amherst, Massachusetts, home, the 1976 play makes use of her work, diaries, and letters to recollect her encounters with the significant people in her life – family, close friends, and acquaintances. It balances the agony of her seclusion with the brief bright moments when she was able to experience some joy.",,One woman play; has 15 characters so can be expanded.,record
yppc_32,Bermuda Triangle Mystery,"Murray, John",10-18,2,3,5,10,,20,1979,"Plays, Inc.",FALSE,2,FALSE,FALSE,,A pleasure cruise becomes a nightmare when the yacht Enchantress sails into the Bermuda Triangle.,,Part of Fifteen plays for teen-agers: A collection of one-act royalty-free comedies and mysteries by John Murray,record
yppc_33,Between Daylight and Boonville,"Williams, Matt",08-18,3,5,0,8,,83,1988,"Samuel French, Inc.",TRUE,1,FALSE,FALSE,,"The play is set in the coal mining country of southern Indiana. Carla, a twenty six year old high school dropout, wife, and mother, dreams of packing up and moving to escape her dreary existence. She is teased, threatened, and cajoled by her friends as they settle into an ordinary day of trading gossip, reading magazines, and prattling about sex while the children dart in and out. An ordinary day becomes extraordinary when the local mine resounds with an explosion. The play is a touching and humorous study of women who posses the courage, the humor, and the dignity to rise above the grimmer facts of their existence.",,,record
yppc_34,Beyond the Fringe,"Bennett, Alan",12-18,0,0,4,4,,75,1960,"Samuel French, Inc.",TRUE,2,FALSE,FALSE,,"Beyond the Fringe was a British comedy stage revue written and performed by Alan Bennett, Peter Cook, Jonathan Miller, and Dudley Moore. It debuted at the 1960 Edinburgh Festival and went on to play in London's West End and then in America, both on tour and on New York's Broadway in the early 1960s. Hugely successful, it is widely regarded as seminal to the ""satire boom"", the rise of satirical comedy in 1960s Britain.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,record
yppc_35,The Birthday Party,"Pinter, Harold",10-18,4,2,0,6,,54,1959,"Samuel French, Inc.",TRUE,1,FALSE,FALSE,,"In Pinter's classic comedy of menace, a small birthday party in a rundown seaside boarding house becomes a nightmare when two sinister strangers arrive unexpectedly.",,,record
yppc_36,The Firebugs/The Fire Raisers,"Frisch, Max",14-18,1,1,7,9,,43,1958,Unknown,TRUE,15,FALSE,FALSE,,"The Firebugs is a dark comedy by Swiss playwright Max Frisch. Gottlieb Biedermann, a cautious German businessman, discovers that the two men who have entered his home disguised as salesmen are the arsonists who have already burned down much of the town. He and his wife, concerned only with saving themselves and their home, lodge them, feed them a sumptuous dinner, and provide them with all the matches they can possibly use — all of which serves only to postpone the inevitable holocaust.",,,record
yppc_37,Blithe Spirit,"Coward, Noel",10-18,2,5,0,7,,86,1941,Concord Theatricals,TRUE,1,FALSE,FALSE,,"A smash comedy hit on London and Broadway stages, this much-revived classic from the playwright of Private Lives offers wit, conflict and big laughs as a fussy, cantankerous novelist finds himself haunted by the ghost of his late first wife.",,,record
yppc_38,Blood Wedding,"Garcia Lorca, Federico",14-18,6,10,1,17,,99,1933,Dramatists Play Service Inc.,TRUE,4,FALSE,FALSE,,"Two families in a semi-mythical rural Spain are intricately bound in an unbreakable cycle of murder and revenge. The death-bound love triangle at the center of the play fuels these passions to a fever pitch and propels the story to its unstoppable tragic conclusion. An arranged country marriage between the children of rich landowners is about to take place. A past lover, himself in a loveless marriage, cannot allow the wedding to take place and spirits the Bride away, who goes with him willingly on her wedding night. An entire town goes after the lovers in the middle of the night where pursuers and pursued plunge into a realm of deep darkness where the moonlight is not friendly and the forest not shelter enough. Lorca’s image-laden poetry unfolds the story with the fire and power characteristic of his work and the fateful resonance that marked his own tragically short life.",,,record
yppc_39,The Blue Bird,"Maeterlinck, Maurice",04-18,3,4,37,44,,61,1903,Public Domain,FALSE,4,FALSE,FALSE,,"The story is about a girl called Mytyl and her brother Tyltyl seeking happiness, represented by The Blue Bird of Happiness, aided by the good fairy Bérylune.",,,record
yppc_40,The Chest of Dreams,"Bush, Max",06-18,3,4,0,7,,41,1978,Dramatists Play Service Inc.,TRUE,6,FALSE,FALSE,,"Grandmother leaves Lily a large chest containing everything her friends can imagine; without imagination, the chest appears empty. Karkino, a ghostly hypnotist, threatens their creative spirit by planting self-defeating messages in their minds; however, he only lives as long as his debilitating messages stick. Lily makes allies of the audience and combats Karkino with her own self-assurance, reinforced by the audience, until the hypnotist is conquered and Lily's friends recover their strength. The Chest of Dreams is written for young adults to perform for children 6 to 10 years old. It is a keenly perceptive play about self-esteem—with a fresh point of view. It celebrates young people's intelligence, their zest for life and their capacity to unite in the face of danger.",,This is located in the Blithe Spirit binder.,record
yppc_41,Blood Photo,"Friedman, Edward",12-18,3,3,0,6,,33,1969,Chilton Books,TRUE,1,FALSE,FALSE,,"A vivid, potent dramatic re-creation of a gradually disintegrating family, a subject that undoubtedly is painfully familiar to the play's progenitor.",,,record
yppc_42,Blue Denim,"Herlihy, James Leo",12-18,3,3,0,6,,107,1959,Chilton Books,TRUE,3,FALSE,FALSE,,"This moving and compassionate play concerning the problem of communications between the younger and older generations was saluted by the critics as a work of stature and uncommon insight. The juveniles are not delinquent and the parents are not heartless or uncaring; the trouble stems from the fact that they simply do not speak each other's language. A retired army officer living in Detroit has a 15 year old son who finds that he is about to become a father. The youngster feels helpless; he has never been close enough to his parents to go to them for help. When he does, at a friend's urging, he cannot make himself understood. This simple yet universal situation encompasses the terrible insecurity of youth, and the equally terrible failure of parents who realize too late that they don't know their own children.",,Written by James Leo Herlihy and William Noble,record
yppc_43,The Bomb,"Douglas, James",10-18,2,1,0,3,,20,1966,Proscenium Press,TRUE,5,FALSE,FALSE,,"A couple of boys plan to play a cruel prank on a lonely old woman by setting off a bomb at her door. The bomb does not ignite, and one of the boys falls in his panic to get away.",,,record
yppc_44,The Boor,"Chekhov, Anton",10-18,2,1,0,3,,12,1888,Unknown,FALSE,8,FALSE,FALSE,,A widow mourning her late husband is confronted by a creditor seeking repayment of a debt. Their interaction becomes heated but ultimately leads to a confession of love.,,Two different versions: The Boor and The Bear. Both are the same play.,record
yppc_45,Brilliant Traces,"Johnson, Cindy Lou",14-18,1,1,0,2,,42,1989,Dramatists Play Service Inc.,TRUE,1,FALSE,TRUE,Adaptation of Cindy Lou Johnson's book by the same name,"The place is a remote cabin in the wilds of Alaska. As a blizzard rages outside, a lonely figure, Henry Harry, lies sleeping under a heap of blankets. Suddenly, he is awakened by the insistent knocking of an unexpected visitor—who turns out to be Rosannah DeLuce, a distraught young woman who has fled all the way from Arizona to escape her impending marriage, and who bursts into the cabin dressed in full bridal regalia. Exhausted, she throws herself on Henry’s mercy, but after sleeping for two days straight, her vigor—and combativeness—return. Both characters, it develops, have been wounded and embittered by life, and both are refugees from so-called civilization. Thrown together in the confines of the snowbound cabin, they alternately repel and attract each other as, in theatrically vivid exchanges, they explore the pain of the past and, in time, consider the possibilities of the present. In the end their very isolation proves to be the catalyst that allows them to break through the web of old griefs and bitter feelings that beset them both and to reach out for the solace and sanctuary that only hard-won understanding, self-awareness and compassion for the plight of others can bestow.",,,record
yppc_46,Cantorial,"Levin, Ira",10-18,4,2,1,7,,93,1988,Concord Theatricals,TRUE,1,FALSE,FALSE,,"A Yuppie couple hears eerie, hauntingly beautiful Hebrew singing when they move into a new condominium. The building was formerly a synagogue and it has a ghost a cantor who has been dead for years. Warren becomes obsessed by the singing, which he believes is a sign that he is Jewish maybe the woman he thought was his mother wasn't and that he must restore the synagogue. Lesley, who is Jewish, finds this overwhelming and walks out. When a change of heart brings her back she finds a beautiful synagogue.",,,record
yppc_47,Case of the Punjabi Ruby,"Willment, Frank",06-12,5,5,6,16,,11,2000,"Sterling Partners, Inc.",TRUE,3,FALSE,FALSE,,The auction of a valuable gem comes to a screeching halt,,,record
yppc_48,Dracula's Night Out,"Stephens, Jeffryn",04-12,2,4,8,14,,15,1982,YPPC,FALSE,9,FALSE,FALSE,,Dracula and his family have a night out.,,"Several different versions, including one labeled ""One on computer"". One version includes a scripted photocopy of Maurice Sendak's Where the Wild Things Are. One is located at the back of the folder that houses the Case of the Punjabi Ruby.",record
yppc_49,The Caucasian Chalk Circle,"Brecht, Bertolt",12-18,39,14,4,57,,109,1944,Concord Theatricals,TRUE,5,FALSE,FALSE,,"THE CAUCASIAN CHALK CIRCLE is a parable inspired by the Chinese play CHALK CIRCLE. Written at the close of World War II, the story is set in the Causasus Mountains of Georgia, and retells the tale of King Solomon and a child claimed by two mothers.",,,record
yppc_50,The Cave,"Kelly, Tim",12-18,0,0,12,12,,12,1977,Dramatists Play Service Inc.,TRUE,6,FALSE,FALSE,,"When the audience enters, the curtains are open and the stage empty. Slowly the cast enters, wondering what it’s to perform. To warm up, they do pantomime scenes from their “great success,” The Black Death. Then they discover three cards marked “Sea,” “Cave,” and “Future.” They reject the sea (too cold) and the future (too far) and opt to create life in a dark cave, when early man was threatened both by marauding beasts and by his fear of the unknown. Hunters and a warrior journey forth in search of prey but return empty-handed, as even the animals have fled the hostile terrain. Then the warrior discovers a “strange tribe” with the unheard-of gift of laughter, and a “great winged thing” invades the sanctuary, causing panic. A decision must be made whether to leave or stay—and the vote is to venture forth, despite what might lie ahead. Everything’s here from a touch of Pirandello to Story Theatre, and the play requires nothing in the way of “production” except imagination.",,,record
yppc_51,The Chalk Garden,"Bagnold, Enid",12-18,2,7,0,9,,162,1955,"Samuel French, Inc.",TRUE,1,FALSE,TRUE,Adaptation of a book by the same name.,"Revived to acclaim on the West End in 2008, this psychological chamber piece explores the secret world of childhood through the prism of a dyed-in-the-wool British dowager Mrs. St. Maugham and her precocious and equally eccentric granddaughter Laurel. When enigmatic Miss Madrigal is hired as household companion and manager, the two finally meet their match.",,,record
yppc_52,Changeling,"Stephens, Jeffryn",14-18,10,14,0,24,,53,1985,YPPC,FALSE,2,TRUE,FALSE,,"A child is stolen away by the fairies, who leave a changeling in its place.",,Music and lyrics by Ty Stephens. No score included.,record
yppc_53,Charlotte's Web,"Robinette, Joseph",14-18,7,9,0,16,TRUE,38,1989,Dramatic Publishing,TRUE,1,FALSE,TRUE,Adaptation of EB White's book Charlotte's Web.,"Determined to save Wilbur, Charlotte begins her campaign with the ""miracle"" of her web in which she writes, ""Some pig."" It's the beginning of a victorious campaign which ultimately ends with the now-safe Wilbur doing what is most important to Charlotte. This is a beautiful, knowing play about friendship that will give your actors a great opportunity and your audience an evening of enchantment.",,,record
yppc_54,Charlotte's Web - Musical,"Robinette, Joseph",14-18,7,9,0,16,TRUE,38,1989,Dramatic Publishing,TRUE,7,TRUE,TRUE,Adaptation of EB White's book Charlotte's Web.,"Determined to save Wilbur, Charlotte begins her campaign with the ""miracle"" of her web in which she writes, ""Some pig."" It's the beginning of a victorious campaign which ultimately ends with the now-safe Wilbur doing what is most important to Charlotte. This is a beautiful, knowing play about friendship that will give your actors a great opportunity and your audience an evening of enchantment.",,,record
yppc_55,A Charles Dickens Christmas,"Scott, Robert Owens",12-18,4,2,0,6,,47,1988,Music Theater International,TRUE,3,TRUE,TRUE,Adaptation of A Christmas Carol from the author's perspective of writing.,A young author struggles to write the Christmas story that will become the most famous holiday tale of all time.,,,record
yppc_56,Charlie and the Chocolate Factory,"George, Richard R.",04-18,10,9,0,19,TRUE,59,1976,Dramatic Publishing,TRUE,2,FALSE,TRUE,Adaptation of Roald Dahl's novel Charlie and the Chocolate Factory,"Charlie lives in poverty with his parents. He wins a contest to visit a chocolate factory, and eventually wins the factory.",,,record
yppc_57,Cheating Cheaters,"Patrick, John",12-18,2,3,0,5,,70,1983,Dramatists Play Service Inc.,TRUE,5,FALSE,FALSE,,"Faced with the responsibility of looking after their orphaned niece, Theresa and Angelica, two middle-aged sisters, have settled on the idea of impersonating begging nuns in order to send Tania to art school in Europe, but as the play begins they have run into double trouble: An agile young cat burglar is about to make off with their ill-gotten gains; and a suspicious policeman has followed Theresa (and her collection bucket) home. However all is not as desperate as it seems, as the personable young thief happens to be a medical student who steals to pay his tuition (and is willing to consider alternative means of fund raising) while the cop, as it turns out, is also not above taking what he can on the side. So the four join forces for some inspired larceny and things go swimmingly—or do until the supposedly saintly Tania turns up unannounced. Trying to hide the truth from their niece, Theresa and Angelica decide to “go straight,” which also, unfortunately, means going broke and results in a series of hilarious misunderstandings. In the end, however, it develops that Tania is not quite the paragon her aunts believed her to be—but the confession of her own misdeeds (she is an accomplished art forger) is steadily forgiven when she also reveals that the rather considerable earnings from her illegal activities are merrily piling up interest in a Swiss bank!",,,record
yppc_58,The Children's Hour,"Hellman, Lillian",14-18,2,12,0,14,,37,1934,Dramatists Play Service Inc.,TRUE,4,FALSE,FALSE,,"A serious and adult play about two women who run a school for girls. After a malicious youngster starts a rumor about the two women, the rumor soon turns to scandal. As the young girl comes to understand the power she wields, she sticks by her story, which precipitates tragedy for the women. It is later discovered that the gossip was pure invention, but it is too late. Irreparable damage has been done.",,,record
yppc_59,The Chinese Wall,"Frisch, Max",10-18,3,2,11,16,,33,1947,Unknown,TRUE,2,FALSE,FALSE,,"Among the first theatre works to address the entirely new issue of the possibility, now in the nuclear age, of global extinction. Coming so soon after the defeat of fascism, it also served to slam all manner of authoritarian rule.",,,record
yppc_60,The Choice,"Schmidt, Linda",10-14,2,11,2,15,,22,1970s,Unknown,TRUE,4,FALSE,TRUE,Adapted from the story Becky's Horse by Winifred Madison.,Becky must decide whether to keep the horse she won or take the prize money to help an Austrian cousin orphaned during the invasion of Hitler's troops.,,Adapted by Jeffryn Stephens,record
yppc_61,Clara,"Miller, Arthur",14-18,3,1,0,4,,25,1991,Dramatists Play Service Inc.,TRUE,5,FALSE,FALSE,,"CLARA, is a powerful and moving drama in which an aging father is forced to come to grips with the crushing reality of his daughter’s senseless murder. Grilled relentlessly by a dispassionate detective, the father is unable to bring his memory into focus until, in the trenchant monologue recalling a disquieting incident from his wartime experience, the past suddenly clarifies the present and, relieving the father’s tortured conscience, unlocks the damning evidence which the detective has been seeking.",,,record
yppc_62,The Classical Book Case,"Covington, Claudia Carter",04-10,11,8,10,29,,13,1984,Unknown,TRUE,1,FALSE,TRUE,"Adapted from several books, including Treasure Island, Peter Rabbit, and others.",Students are trying to find a book for a book report. Scenes from some classical stories are acted out onstage.,,"Written by Claudia Carter Covington, Dee Walston, and Jody Weatherly. May have been a student publication.",record
yppc_63,Cocaine,"King, Pendleton",16-18,1,1,0,2,,8,1916,Unknown,FALSE,1,FALSE,FALSE,,"Cocaine is an honest portrait of drug abuse, prostitution, and finding love and hope in the quiet hours of the morning when all else seems futile. Joe, a former boxer, and Nora, his frail wife whose illness has incapacitated her from streetwalking, discuss their desperate situation and contemplate giving up entirely. Content warning for discussion of drug use, sex work, and a suicide attempt.",,,record
yppc_64,The Colored Museum,"Wolfe, George",14-18,2,3,0,5,,9,1986,Agency for Performing Arts,TRUE,1,FALSE,FALSE,,"The Colored Museum is a provocative and seriously funny tour of eleven “exhibits”—toxic narratives about Black American experiences. From confrontational to aspirational, morbid to triumphant, Wolfe’s satiric sketches target America’s most pernicious stereotypes of Black culture, looking to retire outdated exhibits and make room for the future.",,,record
yppc_65,A Comedy of Good and Evil,"Hughes, Richard",12-18,5,5,0,10,,96,1924,"Chatto and Windus, London",FALSE,2,FALSE,FALSE,,"The central character is a servant of Lucifer, in the shape of a bewitching little wench who is given food and shelter in the humble cottage of a pious and poverty-stricken Welsh rector, the Rev. John Williams. There follows a conflict of good and evil in which this demon child is sorely tempted to betray her trust.",,,record
yppc_66,Corinth House,"Johnson, Pamela",10-18,1,5,1,7,,84,1954,"Macmillan and Co, Ltd. London",TRUE,3,FALSE,FALSE,,"Set in a private hotel in London. One of its residents is Miss Malleson, a retired headmistress living out the rest of her days. She is visited by an ex pupil, Madge Donnythrope, who sixteen years earlier Miss Malleson disciplined publicly. Madge is determined to get revenge on the headmistress by convincing others she is insane.",,,record
